nombre_campania;usuario;valor_donado;fecha_donativo;comentario
Mundial Abu Dhabi AJP;Treeflex;72;2023-07-08;"""Los desafíos son solo oportunidades para crecer. Enfrenta cada obstáculo con coraje y confianza, Nekae. Estamos aquí para apoyarte."""
Mundial Abu Dhabi AJP;Treeflex;58;2023-08-30;"""Nekae, este viaje al Mundial de Jiu Jitsu en Abu Dhabi es un testimonio de tu dedicación. Ve y disfruta cada segundo de esta increíble experiencia. ¡Tienes nuestro apoyo incondicional!"""
Worth a Haven Primary School;Treeflex;82;2023-07-20;"""Tu proyecto está marcando una diferencia real en la vida de estos niños, Leyre. Continúa inspirándonos con tu labor y tu pasión."""
Ayuda a Luna, mi hija perruna, con su glaucoma;Tresom;29;2023-07-22;"""Luna, aunque el camino pueda ser difícil, nunca estás sola. Tu familia y amigos peludos te apoyan en esta batalla contra el glaucoma."""
AYUDAME A AYUDARLA;Tresom;12;2023-07-03;"""Querida amiga peluda, tu valentía y fuerza nos inspiran todos los días. Estamos aquí contigo en cada paso de tu viaje hacia la salud. 🐾💪"""
Mundial Abu Dhabi AJP;Tresom;57;2023-07-10;"""El Mundial en Abu Dhabi será un escaparate para tu talento. Ve y muestra al mundo lo que eres capaz de hacer en el tatami. ¡Estamos contigo!"""
Recolecta de material sanitario;Tresom;12;2023-07-10;"""El acceso a suministros médicos adecuados es esencial para la salud de las comunidades en África. Únete a la recolección y seamos parte del cambio."""
Recolecta de material sanitario;Tresom;58;2023-07-15;"""El compromiso con el bienestar de los demás es lo que nos hace humanos. Apoyemos esta iniciativa para proporcionar atención médica digna en África."""
Recolecta de material sanitario;Tresom;13;2023-07-17;"""La salud es un derecho humano fundamental. Al contribuir con material médico y sanitario, estamos defendiendo ese derecho en África."""
Ascenso a Nacional Ok Bronce;Tres-Zap;99;2023-07-25;"""Cada golpe, cada sprint, los está acercando al éxito en el Nacional Ok Bronce. ¡No dejen de esforzarse!"""
AYUDAME A AYUDARLA;Tres-Zap;61;2023-07-14;"""Tu perrita es una luchadora, y con el amor y el cuidado que le das, estamos seguros de que superará estas enfermedades. ¡Mantén la esperanza!"""
Recolecta de material sanitario;Tres-Zap;56;2023-08-10;"""No importa cuán pequeña sea tu donación, cada artículo cuenta. Tu generosidad puede marcar la diferencia en la atención médica en África."""
Recolecta de material sanitario;Tres-Zap;18;2023-08-10;"""África merece atención médica de calidad. Unámonos para proporcionar los recursos necesarios a quienes trabajan incansablemente por ello."""
Ayuda para cuidar a Ricardo;Trippledex;14;2023-07-04;"""Nico, tu valentía y amor por tu mamá son inspiradores. La vida nos presenta desafíos, pero tú los enfrentas con coraje."""
Ayudemos a que Madou pueda estudiar en Canadá;Trippledex;18;2023-07-05;"""Madou, tu determinación y deseo de estudiar en Canadá son admirables. Nunca subestimes el poder de tus sueños. ¡Estamos aquí para apoyarte en este emocionante viaje!"""
Ayuda a Nico para realizar el circuito Mundial WSL;Vagram;45;2023-08-25;"""Nico, las grandes olas te esperan en el WSL. ¡Sigue desafiándote a ti mismo y superando límites!"""
Ayuda para cuidar a Ricardo;Vagram;45;2023-07-09;"""La fuerza que muestras al cuidar de tu mamá es un reflejo de tu corazón generoso. ¡Sigue siendo esa luz en su vida!"""
Ayuda para cuidar a Ricardo;Vagram;11;2023-07-28;"""Nico, en tiempos difíciles, tu fuerza brilla con aún más intensidad. Eres un ejemplo de lo que significa ser un verdadero cuidador."""
AYUDAME A AYUDARLA;Vagram;33;2023-07-18;"""En los momentos difíciles, el amor de una mascota puede ser la mayor fuente de fuerza y consuelo. Mantén la fe en la recuperación de tu perrita. 🐶❤️"""
Mundial Abu Dhabi AJP;Vagram;31;2023-08-24;"""La comunidad de Jiu Jitsu está ansiosa por verte competir en el Mundial. Tu pasión y habilidades son verdaderamente inspiradoras, Nekae."""
Mundial Abu Dhabi AJP;Veribet;8;2023-08-20;"""Recuerda, Nekae, el Jiu Jitsu es una combinación de habilidades técnicas y mentalidad fuerte. Tienes ambas. ¡Ve y conquista el Mundial!"""
Todos por Eneko;Veribet;83;2023-07-15;"""Cada día de tratamiento te acerca más a la recuperación. Mantén la esperanza y la positividad, Eneko. Estamos contigo en esta lucha."""
Ascenso a Nacional Ok Bronce;Viva;55;2023-08-22;"""El ascenso al Nacional Ok Bronce es un reflejo de su trabajo duro y dedicación. ¡Sigan adelante y alcancen sus metas!"""
Proyecto de Cocina Gian;Viva;2000;2023-07-09;"""Jean, te deseamos todo el éxito en tu nueva aventura gastronómica, 'El Fogón Caribeño'. Que este restaurante brille con la calidez y los sabores del Caribe. ¡Estamos emocionados por tu próximo capítulo culinario en Sevilla!"""
Ayuda a Nico para realizar el circuito Mundial WSL;Voltsillam;82;2023-08-15;"""En el WSL, el océano es tu hogar. Cuídalo y disfruta de cada momento en este increíble viaje, Nico."""
Ayúdanos a salvar a REY;Voltsillam;6;2023-07-29;"""Rey, nunca estás solo en esta batalla. Tu familia, amigos y una comunidad que te apoya te rodean con amor y esperanza. 🤗❤️"""
Ayúdanos a salvar a REY;Voltsillam;75;2023-08-29;"""Cada día que enfrentas esta enfermedad, te hace aún más valiente. Mantén la esperanza en tu corazón y sigue luchando. Estamos contigo, Rey. 🌈💪"""
Mundial Abu Dhabi AJP;Voltsillam;38;2023-07-15;"""Tienes el espíritu de un verdadero luchador, Nekae. Aprovecha esta oportunidad en el Mundial para mostrar tu habilidad y determinación."""
Recolecta de material sanitario;Voltsillam;68;2023-07-15;"""Cada donación es un acto de amor y solidaridad hacia nuestras hermanas y hermanos en África. ¡Hagamos que esta recolección sea un éxito!"""
Recolecta de material sanitario;Voltsillam;70;2023-08-04;"""La solidaridad trasciende las fronteras. Contribuir a la recolección de material médico es un acto de amor universal."""
Ayuda para cuidar a Ricardo;Wrapsafe;52;2023-08-09;"""Tu amor y dedicación por tu mamá son inquebrantables, Nico. Sigues demostrando que el amor es la fuerza más poderosa."""
Ayudemos a que Madou pueda estudiar en Canadá;Wrapsafe;21;2023-08-19;"""La comunidad está aquí para apoyarte, Madou. Siempre hay recursos y oportunidades disponibles para quienes buscan el conocimiento. ¡Sigue persiguiendo tus sueños!"""
Worth a Haven Primary School;Wrapsafe;62;2023-07-31;"""Tu proyecto es una fuente de esperanza y oportunidades para los jóvenes de tu comunidad. Sigamos adelante con determinación, Leyre."""
Worth a Haven Primary School;Wrapsafe;86;2023-08-15;"""Cada niño que se beneficia de tu proyecto tiene un futuro más brillante gracias a tu dedicación, Leyre. Estamos aquí para apoyarte."""
Recolecta de material sanitario;Y-find;17;2023-07-11;"""No subestimemos el poder de un pequeño gesto. Tu donación de material médico puede traer esperanza y salud a quienes más lo necesitan en África."""
A Pikachu;Y-Solowarm;74;2023-07-31;"""Querido Pikachu, que te recuperes pronto y que vuelvas a llenar de alegría y travesuras cada rincón de tu hogar. ¡Estamos pensando en ti y deseándote una pronta recuperación! 🐱❤️"""
AYUDAME A AYUDARLA;Y-Solowarm;13;2023-08-23;"""El amor y el cuidado que brindas a tu perrita son verdaderamente conmovedores. Estamos aquí para ti en cada paso del camino. 🐶💪"""
Una oportunidad de vida;Y-Solowarm;37;2023-08-19;"""La comunidad está aquí para ti, Marisol. Nunca estás sola en esta lucha. Juntos, superaremos este obstáculo y encontrarás la curación."""
Ascenso a Nacional Ok Bronce;Zaam-Dox;24;2023-08-03;"""La dedicación y la perseverancia los han llevado hasta aquí. ¡Ahora, avancen con confianza hacia el Nacional Ok Bronce, Traviesas Hockey Club!"""
Ascenso a Nacional Ok Bronce;Zaam-Dox;96;2023-08-17;"""Los momentos difíciles solo hacen que las victorias sean más dulces. ¡Ánimo en el Nacional Ok Bronce, chicos!"""
Mundial Abu Dhabi AJP;Zaam-Dox;23;2023-08-20;"""La perseverancia y la dedicación te llevarán lejos en el Mundial de Jiu Jitsu. Nunca dejes de esforzarte, Nekae. ¡Eres un luchador increíble!"""
Proyecto de Cocina Gian;Zaam-Dox;6;2023-08-23;"""Jean, tu pasión por la comida caribeña es contagiosa, y estamos seguros de que 'El Fogón Caribeño' se convertirá en un rincón especial en Sevilla. ¡Adelante con tu sueño gastronómico!"""
Ascenso a Nacional Ok Bronce;Zamit;23;2023-08-30;"""No importa el resultado, siempre serán nuestros campeones. ¡Hagan su mejor esfuerzo y disfruten cada momento en el Nacional Ok Bronce!"""
Ayuda para cuidar a Ricardo;Zamit;80;2023-07-11;"""Nico, tu sacrificio y amor incondicional por tu mamá son un testimonio de tu carácter excepcional. Sigues brillando, incluso en los momentos más oscuros."""
Worth a Haven Primary School;Zamit;37;2023-07-23;"""El impacto positivo que estás generando en tu comunidad es increíble, Leyre. Sigamos trabajando juntos para construir un mejor futuro."""
Worth a Haven Primary School;Zamit;96;2023-08-04;"""Cada donación nos acerca un paso más a la construcción de esas aulas tan necesarias. Tu esfuerzo no pasa desapercibido, Leyre."""
Ayuda a Luna, mi hija perruna, con su glaucoma;Zontrax;76;2023-08-28;"""Mantén esa mirada llena de amor, Luna. El glaucoma puede ser un desafío, pero juntos, lo superaremos. ¡Eres nuestra luz!"""
Ayuda para niños y adultos con TDAH;Zontrax;6;2023-08-20;"""Cada día es una oportunidad para aprender y crecer. No te desanimes por los obstáculos, utiliza tu tenacidad para superarlos. ¡Eres fuerte y capaz!"""
AYUDAME A AYUDARLA;Zontrax;84;2023-07-07;"""Tus ladridos y tu alegría son un regalo para todos nosotros. No importa cuánto tiempo tome, estaremos a tu lado en cada etapa de tu recuperación. 🐾🌟"""
Ayuda a Nico para realizar el circuito Mundial WSL;Zoolab;27;2023-07-23;"""Nico, el surf es tu pasión y el WSL es tu escenario para compartirla con el mundo. ¡Hazlo tuyo!"""
AYUDAME A AYUDARLA;Zoolab;5;2023-07-10;"""El amor y la dedicación que tienes hacia tu perrita son increíbles. Estamos seguros de que, juntos, superarán cualquier obstáculo. 💪🐶"""
AYUDAME A AYUDARLA;Zoolab;75;2023-08-08;"""No importa cuántos obstáculos se interpongan en el camino, el amor inquebrantable que tienes por tu perrita siempre será su mejor medicina. 🐶💕"""
